st_id,password,first_name,last_name,age,gender,nationality,completed_units,interest
40659,VPrEQ,Antonio,Garcia,20,Male,Cambodia,"BCO7000 (Sem 4), BCO7006 (Sem 4), BCO7004 (Sem 4)",Financial and Managerial Accounting
86286,UnYQ3,Maria,Torres,22,Female,Thailand,BEO6000 (Sem 3),Data-Driven Decision Making and Analytics
84304,RDSId,Ismael,Fernandez,19,Male,Brunei,"BCO7004 (Sem 4), BEO6000 (Sem 3), BAO6504 (Sem 1)",Leadership and Strategic Management
73789,gfiJI,Angelica,Reyes,22,Female,Vietnam,BEO6000 (Sem 3),Operations and Supply Chain Management
27888,h1ddj,Ismael,Reyes,23,Male,Cambodia,"BCO6008 (Sem 2), BCO7002 (Sem 4), BAO6504 (Sem 1)",General Business and Management
28461,12PLv,Antonio,Cruz,28,Male,Cambodia,"BCO7002 (Sem 4), BAO6504 (Sem 1), BEO6600 (Sem 2)",Marketing Strategy and Consumer Behavior
96801,8mFOH,Carlos,Reyes,20,Male,Indonesia,"BCO7000 (Sem 2), BCO7006 (Sem 2), BEO6600 (Sem 2)",Data-Driven Decision Making and Analytics
95562,R6k4Y,Alicia,Cruz,32,Female,Philippines,"BCO7005 (Sem 2), BCO7002 (Sem 4), BCO7003 (Sem 1)",Operations and Supply Chain Management
48252,gt7N5,Alberto,Ramos,35,Male,Malaysia,BEO6000 (Sem 3),Data-Driven Decision Making and Analytics
23592,jUhbq,Sofia,Gonzalez,19,Female,Philippines,BCO7004 (Sem 4),Leadership and Strategic Management
17902,tbFyX,Roberto,Morales,27,Male,Thailand,"BCO7002 (Sem 4), BCO6008 (Sem 2), BEO6000 (Sem 3)",Marketing Strategy and Consumer Behavior
16362,uOowd,Ismael,Torres,29,Male,Myanmar,"BCO7002 (Sem 4), BAO6504 (Sem 1)",Digital Media and Content Creation
04228,SXs8D,Jessica,Torres,28,Female,Indonesia,"BCO7005 (Sem 2), 	
WOM1000 (Sem 1)",Data-Driven Decision Making and Analytics
75476,QfFGi,Carlos,Torres,29,Male,Vietnam,"BAO6504 (Sem 1), BCO7004 (Sem 4), BEO6000 (Sem 3)",General Business and Management
85448,aT4Vj,Miguel,Ramos,20,Male,Thailand,"BCO7000 (Sem 3), BCO7006 (Sem 3), BCO7003 (Sem 1), BCO7004 (Sem 4), BEO6000 (Sem 3)",Operations and Supply Chain Management
