st_id,password,first_name,last_name,age,gender,nationality,interest,CompletedUnit1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits,CompletedUnit4_Code,CompletedUnit4_Title,CompletedUnit4_Semester,CompletedUnit4_Credits,CompletedUnit5_Code,CompletedUnit5_Title,CompletedUnit5_Semester,CompletedUnit5_Credits,CompletedUnit6_Code,CompletedUnit6_Title,CompletedUnit6_Semester,CompletedUnit6_Credits
87798,RfOt2,Carlos,Fernandez,27,Male,Brunei,Business Intelligence,BEO6000,Data Analysis for Business,3,12,,,,,,,,,,,,,,,,,,,,
50506,GivEd,Alberto,Torres,28,Male,Cambodia,Financial Analysis,WOM1000,Women in STEM,1,12,BCO6008,Predictive Analytics,2,12.0,,,,,,,,,,,,,,,,
22758,uo31n,Angelica,Ramos,22,Female,Myanmar,Leadership and Empowerment,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
92379,hKkpz,Rosa,Gonzalez,32,Female,Vietnam,Programming (Python),BAO6504,Accounting for Management,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
75889,EiKSC,Carmen,Morales,34,Female,Laos,Market Analysis,BCO7000,Business Analytics,1,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
73321,T0rcr,Alberto,Fernandez,28,Male,Singapore,Data Science,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,1,12.0,BEO6600,Business Economics,2,12.0,WOM1000,Women in STEM,1,12.0,BCO7002,Experience Management,4,12.0,,,,
63861,2Jojb,Carmen,Gonzalez,21,Female,Brunei,Quantitative Analysis,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
72661,Wp4j7,Alberto,Ramos,22,Male,Malaysia,Customer Experience,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
90346,1HjV3,Angelica,Cruz,26,Female,Brunei,Quantitative Analysis,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
85434,5TNYW,Alicia,Torres,21,Female,Malaysia,Data Science,BEO6600,Business Economics,2,12,BCO7003,Analytics Project M anagement,1,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
85335,HJbCg,Isabela,Martinez,33,Female,Laos,Quantitative Analysis,BCO7005,Data Security and Governance,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
39036,KyzBv,Veronica,Reyes,19,Female,Cambodia,Market Analysis,BCO7005,Data Security and Governance,2,12,BCO7004,Business Data Mining and Warehousing,4,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,
14236,4DAXm,Alicia,Torres,19,Female,Brunei,Leadership and Empowerment,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,
97161,szKS6,Veronica,Ramos,35,Female,Laos,Economic Theory,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,
08366,KxzaN,Fernando,Santos,35,Male,Laos,Programming (Python),BCO7007,Machine Learning,2,12,BEO6000,Data Analysis for Business,3,12.0,BCO7006,Coding for Business Analytics,1,12.0,,,,,,,,,,,,
44632,zin7r,Sofia,Torres,25,Female,Indonesia,Machine Learning,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,
32066,k06jF,Alberto,Gonzalez,24,Male,Thailand,Business Intelligence,BCO7000,Business Analytics,1,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
20401,kpyGG,Ricardo,Garcia,22,Male,Singapore,Business Intelligence,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
09803,coeyd,Carmen,Garcia,30,Female,Myanmar,Business Strategy,BEO6600,Business Economics,2,12,WOM1000,Women in STEM,2,12.0,,,,,,,,,,,,,,,,
54370,Csr3S,Sofia,Rivera,28,Female,Indonesia,Quantitative Analysis,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,
41273,tJHqT,Luisa,Morales,18,Female,Malaysia,Market Analysis,BCO7004,Business Data Mining and Warehousing,4,12,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
11270,Jt9tb,Fernando,Torres,29,Male,Laos,Data Science,BCO7000,Business Analytics,1,12,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,,,,,
66040,II0xs,Isabela,Santos,30,Female,Malaysia,Quantitative Analysis,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
65294,HTHH5,Maria,Flores,20,Female,Brunei,Quantitative Analysis,BCO7000,Business Analytics,1,12,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
73816,lUTfp,Angelica,Garcia,25,Female,Vietnam,Business Intelligence,BCO7004,Business Data Mining and Warehousing,4,12,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,
86566,49YMv,Luisa,Torres,28,Female,Philippines,General Business Interest,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
23936,ZnsWL,Sofia,Morales,35,Female,Vietnam,Economic Theory,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,4,12.0,,,,
89375,ci6hr,Juan,Cruz,35,Male,Philippines,Market Analysis,BEO6000,Data Analysis for Business,3,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
30287,sZR6O,Sofia,Morales,19,Female,Cambodia,Financial Analysis,BCO7000,Business Analytics,4,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7007,Machine Learning,2,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,WOM1000,Women in STEM,2.0,12.0
62568,1ZK2T,Angelica,Reyes,21,Female,Vietnam,Business Intelligence,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
46680,MrP83,Roberto,Cruz,24,Male,Thailand,Financial Analysis,BCO7002,Experience Management,4,12,,,,,,,,,,,,,,,,,,,,
78367,b6Q31,Carmen,Gonzalez,29,Female,Indonesia,Data Science,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
75114,GI4X3,Ismael,Flores,33,Male,Malaysia,Customer Experience,BEO6000,Data Analysis for Business,3,12,BCO7003,Analytics Project M anagement,1,12.0,BCO6008,Predictive Analytics,2,12.0,,,,,,,,,,,,
42410,03Eh1,Luisa,Garcia,26,Female,Philippines,Business Intelligence,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,
55657,r40Uw,Alicia,Martinez,28,Female,Philippines,Data Science,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6600,Business Economics,2,12.0,BEO6000,Data Analysis for Business,3,12.0,BAO6504,Accounting for Management,1,12.0,WOM1000,Women in STEM,2.0,12.0
28284,v4xqB,Angelica,Flores,20,Female,Laos,Leadership and Empowerment,BCO7006,Coding for Business Analytics,1,12,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,
04627,AaOyy,Ismael,Cruz,32,Male,Singapore,Business Strategy,BCO7000,Business Analytics,1,12,,,,,,,,,,,,,,,,,,,,
70279,B3lBc,Rosa,Martinez,24,Female,Thailand,Quantitative Analysis,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,,,,,
06402,DTvcq,Ismael,Fernandez,23,Male,Malaysia,Economic Theory,BCO7003,Analytics Project M anagement,1,12,,,,,,,,,,,,,,,,,,,,
07687,RI3Bb,Fernando,Torres,19,Male,Singapore,Business Strategy,BCO7003,Analytics Project M anagement,1,12,BCO7007,Machine Learning,2,12.0,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,
30959,NgNAs,Roberto,Ramos,21,Male,Vietnam,Customer Experience,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,
80318,RhuUk,Rosa,Cruz,27,Female,Philippines,Economic Theory,WOM1000,Women in STEM,1,12,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,,,,,
01341,CRFzN,Rosa,Cruz,34,Female,Laos,Market Analysis,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,4,12.0,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO6008,Predictive Analytics,2,12.0,WOM1000,Women in STEM,4.0,12.0
43485,AhcbU,Carlos,Reyes,32,Male,Cambodia,Economic Theory,BCO7005,Data Security and Governance,2,12,,,,,,,,,,,,,,,,,,,,
03907,q9YHI,Jessica,Martinez,28,Female,Indonesia,Quantitative Analysis,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
94734,hqHMH,Miguel,Ramos,35,Male,Philippines,Business Intelligence,BAO6504,Accounting for Management,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,,,,,
90475,0Greq,Rosa,Santos,33,Female,Laos,Machine Learning,BCO7007,Machine Learning,2,12,BCO7002,Experience Management,4,12.0,BCO7003,Analytics Project M anagement,1,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
29459,AFErM,Veronica,Torres,33,Female,Thailand,General Business Interest,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
90618,UwOqP,Jessica,Rivera,18,Female,Singapore,Economic Theory,BCO7000,Business Analytics,3,12,BCO7006,Coding for Business Analytics,3,12.0,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,BCO7007,Machine Learning,2,12.0,WOM1000,Women in STEM,2.0,12.0
94753,lB2DT,Carlos,Fernandez,26,Male,Laos,Business Strategy,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
47295,5uJdk,Veronica,Torres,30,Female,Cambodia,Data Science,BAO6504,Accounting for Management,1,12,BEO6000,Data Analysis for Business,3,12.0,WOM1000,Women in STEM,3,12.0,,,,,,,,,,,,
58018,PUYCc,Miguel,Garcia,22,Male,Cambodia,Business Strategy,BEO6600,Business Economics,2,12,BCO7002,Experience Management,4,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
28725,QMxah,Carlos,Morales,33,Male,Philippines,General Business Interest,BCO7004,Business Data Mining and Warehousing,4,12,BCO7000,Business Analytics,1,12.0,,,,,,,,,,,,,,,,
42772,6m54p,Luisa,Fernandez,25,Female,Laos,Economic Theory,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4,12.0,,,,,,,,,,,,,,,,
40110,ON1xw,Miguel,Martinez,23,Male,Thailand,Financial Analysis,BEO6000,Data Analysis for Business,3,12,BCO7004,Business Data Mining and Warehousing,4,12.0,BCO7003,Analytics Project M anagement,1,12.0,,,,,,,,,,,,
25904,GT9SM,Carlos,Torres,32,Male,Laos,Economic Theory,BCO7006,Coding for Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4,12.0,,,,,,,,,,,,,,,,
88988,ACxdS,Maria,Morales,34,Female,Malaysia,Data Science,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,1,12.0,BCO6008,Predictive Analytics,2,12.0,,,,,,,,,,,,
94191,nOCxb,Fernando,Reyes,19,Male,Philippines,Business Strategy,BCO7000,Business Analytics,1,12,BCO7006,Coding for Business Analytics,3,12.0,WOM1000,Women in STEM,1,12.0,BCO7007,Machine Learning,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,
83478,pcRpD,Jose,Torres,34,Male,Singapore,Programming (Python),BCO6008,Predictive Analytics,2,12,BCO7003,Analytics Project M anagement,1,12.0,,,,,,,,,,,,,,,,
12968,O8iy6,Jose,Fernandez,30,Male,Vietnam,Data Science,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,1,12.0,,,,,,,,,,,,,,,,
70585,WX5rG,Veronica,Gonzalez,29,Female,Singapore,Market Analysis,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,1,12.0,BCO7005,Data Security and Governance,2,12.0,WOM1000,Women in STEM,2,12.0,,,,,,,,
13081,aUrGP,Jose,Garcia,31,Male,Cambodia,Quantitative Analysis,BCO7006,Coding for Business Analytics,1,12,BCO7007,Machine Learning,2,12.0,,,,,,,,,,,,,,,,
01141,k0Y7h,Angelica,Fernandez,33,Female,Malaysia,Business Strategy,WOM1000,Women in STEM,1,12,BEO6000,Data Analysis for Business,3,12.0,BCO7002,Experience Management,4,12.0,,,,,,,,,,,,
97048,rCBWy,Alberto,Garcia,30,Male,Brunei,Quantitative Analysis,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2,12.0,BCO7007,Machine Learning,2,12.0,,,,,,,,,,,,
05023,2RNi3,Alberto,Torres,35,Male,Singapore,Business Intelligence,BCO7000,Business Analytics,1,12,BCO7007,Machine Learning,2,12.0,BEO6000,Data Analysis for Business,3,12.0,,,,,,,,,,,,
