st_id,password,first_name,last_name,age,gender,nationality,interest,CompletedUnit1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits,CompletedUnit4_Code,CompletedUnit4_Title,CompletedUnit4_Semester,CompletedUnit4_Credits,CompletedUnit5_Code,CompletedUnit5_Title,CompletedUnit5_Semester,CompletedUnit5_Credits,CompletedUnit6_Code,CompletedUnit6_Title,CompletedUnit6_Semester,CompletedUnit6_Credits
63608,huYo3,Fernando,Cruz,35,Male,Laos,Operations and Supply Chain Management,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3.0,12.0,BCO7006,Coding for Business Analytics,1.0,12.0,,,,,,,,,,,,
98514,hEvlj,Carlos,Flores,25,Male,Thailand,Marketing Strategy and Consumer Behavior,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2.0,12.0,BEO6600,Business Economics,2.0,12.0,,,,,,,,,,,,
94123,oQoAK,Luisa,Martinez,32,Female,Laos,Information Technology and Systems,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,4.0,12.0,,,,,,,,,,,,,,,,
27392,ixQ2v,Roberto,Cruz,24,Male,Brunei,Digital Media and Content Creation,BCO7004,Business Data Mining and Warehousing,4,12,,,,,,,,,,,,,,,,,,,,
69731,NWbaY,Alicia,Rivera,22,Female,Singapore,Marketing Strategy and Consumer Behavior,BCO7002,Experience Management,4,12,BEO6000,Data Analysis for Business,3.0,12.0,WOM1000,Women in STEM,4.0,12.0,,,,,,,,,,,,
32478,UNy1u,Sofia,Santos,20,Female,Vietnam,Leadership and Strategic Management,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3.0,12.0,,,,,,,,,,,,,,,,
71818,bhXN2,Juan,Fernandez,33,Male,Indonesia,Data-Driven Decision Making and Analytics,BCO7005,Data Security and Governance,2,12,BEO6000,Data Analysis for Business,3.0,12.0,,,,,,,,,,,,,,,,
16973,Odbmv,Ricardo,Garcia,30,Male,Singapore,Data-Driven Decision Making and Analytics,BCO7005,Data Security and Governance,2,12,BEO6000,Data Analysis for Business,3.0,12.0,,,,,,,,,,,,,,,,
47261,ykuty,Luisa,Fernandez,25,Female,Cambodia,Data-Driven Decision Making and Analytics,BEO6000,Data Analysis for Business,3,12,BCO7007,Machine Learning,2.0,12.0,WOM1000,Women in STEM,1.0,12.0,,,,,,,,,,,,
07794,hVfoX,Antonio,Martinez,30,Male,Malaysia,Digital Media and Content Creation,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,4.0,12.0,BCO7004,Business Data Mining and Warehousing,4.0,12.0,BCO7007,Machine Learning,2.0,12.0,,,,,,,,
