st_id,password,first_name,last_name,age,gender,nationality,interest,CompletedUnit1_Code,CompletedUnit1_Title,CompletedUnit1_Semester,CompletedUnit1_Credits,CompletedUnit2_Code,CompletedUnit2_Title,CompletedUnit2_Semester,CompletedUnit2_Credits,CompletedUnit3_Code,CompletedUnit3_Title,CompletedUnit3_Semester,CompletedUnit3_Credits,CompletedUnit4_Code,CompletedUnit4_Title,CompletedUnit4_Semester,CompletedUnit4_Credits,CompletedUnit5_Code,CompletedUnit5_Title,CompletedUnit5_Semester,CompletedUnit5_Credits,CompletedUnit6_Code,CompletedUnit6_Title,CompletedUnit6_Semester,CompletedUnit6_Credits
81263,fseNS,Jessica,Ramos,33,Female,Myanmar,Data-Driven Decision Making and Analytics,BCO7005,Data Security and Governance,2,12,BCO7002,Experience Management,4.0,12.0,WOM1000,Women in STEM,4.0,12.0,,,,,,,,,,,,
35454,ieTgT,Isabela,Ramos,25,Female,Thailand,Data-Driven Decision Making and Analytics,BCO7004,Business Data Mining and Warehousing,4,12,WOM1000,Women in STEM,4.0,12.0,,,,,,,,,,,,,,,,
20892,waCC1,Rosa,Morales,21,Female,Brunei,Digital Media and Content Creation,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,3.0,12.0,,,,,,,,,,,,,,,,
10613,RYWCp,Carlos,Santos,31,Male,Cambodia,Financial and Managerial Accounting,BCO7000,Business Analytics,1,12,BEO6000,Data Analysis for Business,3.0,12.0,BCO7005,Data Security and Governance,2.0,12.0,,,,,,,,,,,,
64924,JjTHa,Jose,Garcia,24,Male,Myanmar,Marketing Strategy and Consumer Behavior,BCO7002,Experience Management,4,12,WOM1000,Women in STEM,1.0,12.0,BEO6000,Data Analysis for Business,3.0,12.0,,,,,,,,,,,,
81983,D5BwB,Isabela,Martinez,24,Female,Cambodia,Financial and Managerial Accounting,BCO7006,Coding for Business Analytics,1,12,BCO7004,Business Data Mining and Warehousing,4.0,12.0,BEO6000,Data Analysis for Business,3.0,12.0,WOM1000,Women in STEM,4.0,12.0,,,,,,,,
82519,fIkj7,Fernando,Flores,32,Male,Myanmar,General Business and Management,BCO7000,Business Analytics,2,12,BCO7006,Coding for Business Analytics,2.0,12.0,BCO6008,Predictive Analytics,2.0,12.0,BAO6504,Accounting for Management,1.0,12.0,,,,,,,,
65703,Wt3yx,Luisa,Cruz,20,Female,Thailand,General Business and Management,WOM1000,Women in STEM,1,12,BCO6008,Predictive Analytics,2.0,12.0,BCO7002,Experience Management,4.0,12.0,,,,,,,,,,,,
95644,ZLbDg,Alberto,Cruz,26,Male,Laos,General Business and Management,BCO6008,Predictive Analytics,2,12,BCO7002,Experience Management,4.0,12.0,BEO6000,Data Analysis for Business,3.0,12.0,,,,,,,,,,,,
65241,HSVOw,Sofia,Santos,23,Female,Cambodia,General Business and Management,BEO6000,Data Analysis for Business,3,12,WOM1000,Women in STEM,1.0,12.0,BCO7005,Data Security and Governance,2.0,12.0,,,,,,,,,,,,
